epoch,train_loss,train_recon_loss,train_kl_raw,train_kl_scaled,train_kl_weight,train_grad_loss,val_loss,val_recon_loss,val_kl_raw,val_kl_scaled,val_kl_weight,val_grad_loss,val_metric_mae,val_metric_rmse,val_metric_gradient_mae,val_metric_slope_diff,val_metric_roughness_real,val_metric_roughness_recon,val_metric_roughness_diff,val_metric_mae_m_approx,val_metric_rmse_m_approx,val_metric_mountain_n,val_metric_mountain_mae,val_metric_mountain_rmse,val_metric_mountain_gradient_mae,val_metric_mountain_slope_diff,val_metric_mountain_roughness_real,val_metric_mountain_roughness_recon,val_metric_mountain_roughness_diff,val_metric_mountain_mae_m_approx,val_metric_mountain_rmse_m_approx,val_metric_flat_n,val_metric_flat_mae,val_metric_flat_rmse,val_metric_flat_gradient_mae,val_metric_flat_slope_diff,val_metric_flat_roughness_real,val_metric_flat_roughness_recon,val_metric_flat_roughness_diff,val_metric_flat_mae_m_approx,val_metric_flat_rmse_m_approx,val_metric_hilly_n,val_metric_hilly_mae,val_metric_hilly_rmse,val_metric_hilly_gradient_mae,val_metric_hilly_slope_diff,val_metric_hilly_roughness_real,val_metric_hilly_roughness_recon,val_metric_hilly_roughness_diff,val_metric_hilly_mae_m_approx,val_metric_hilly_rmse_m_approx
1,0.04503228597631965,0.04203739170951019,701.7753595794045,0.010708242181082222,0.08333333333333323,0.042050819982567704,0.018393934289417643,0.016414035351412132,530.8972510913811,0.008100849168264482,0.08333333333333348,0.026096563952246514,0.08878289147407759,0.1184849240213762,0.02609909674116934,0.02731562171637162,0.035718200826452745,0.03280737934205669,0.02385108166426808,14.818537497476104,19.488848284764536,13086,0.08662955664569688,0.11320225718178809,0.01917525295211717,0.017100660495160267,0.014120954551885834,0.03220931756114164,0.018484439835352043,44.14174041525042,57.27187907023476,22491,0.0903295593730518,0.12066510585951014,0.0334049374433089,0.03746609349961297,0.05950023217479304,0.03397015657345979,0.034055977435532854,2.2024530820822825,2.92577321579059,22491,0.08848910438580339,0.11937837145563697,0.022821774969914225,0.023108548516047604,0.024502154253272977,0.03199257384039083,0.016768673678585033,10.373422601262108,14.068519053768282
2,0.01660944942650202,0.014309973948843991,420.2469914727206,0.00641246019703248,0.16666666666666646,0.024614641648755823,0.016081698234239133,0.013816959575039915,421.82846990906364,0.006436591642899531,0.16666666666666696,0.023839466283005654,0.08276885999187651,0.1085492979645064,0.02384207448047359,0.026448773057358797,0.035718200826452745,0.023178380576262026,0.022371968680557373,13.474730608112976,17.371724203810956,13086,0.07914910340320416,0.1007118196530265,0.01668689494467042,0.015761015495090673,0.014120954551885834,0.02299091413276375,0.010466581090715967,40.37227205692328,51.043112347509705,22491,0.0894845749529935,0.11641298300873976,0.0313900798389993,0.03735414499855962,0.05950023217479304,0.023918908615993495,0.0385782753762861,2.181125924020272,2.818681257298025,22491,0.07815923767999894,0.10524571512569757,0.0204571868455475,0.021761888425339576,0.024502154253272977,0.02254692652076781,0.013092606107243339,9.118465173382814,12.33365141892252
3,0.014781239115921078,0.012218966747076903,369.59310945516944,0.005639543296129905,0.25,0.02304773040385036,0.014638622448143393,0.012138955454148425,359.16003916523243,0.00548034727730152,0.25,0.022591603034646204,0.07610533201243666,0.10066634893269548,0.02259424585163113,0.02624622135153485,0.035718200826452745,0.015725781661859596,0.02364957943715742,12.59728759841304,16.25014675823857,13086,0.07464258037148841,0.09492790506847787,0.015317863215304183,0.01520238531704741,0.014120954551885834,0.015751948055556297,0.006252595428454253,37.81895717203699,47.824373885394785,22491,0.07928630184805563,0.10569002955671952,0.03025902956858331,0.03754489415339386,0.05950023217479304,0.01602761345986678,0.0442266245795583,1.919841255080335,2.542499598430223,22491,0.07377543866413744,0.09898148257570083,0.019163099695321303,0.021373213875070574,0.024502154253272977,0.015408725409927656,0.013194668897930362,8.599941137458096,11.586874877609889
4,0.01451667201656781,0.011670591933187592,338.49468368222176,0.005165018977084683,0.3333333333333329,0.022488141685771765,0.014952640099875113,0.012141536640021766,334.57139602510057,0.0051051543582931605,0.3333333333333339,0.022187707208023214,0.07515138812635673,0.10085277215930444,0.022189944012521293,0.02609702811725969,0.035718200826452745,0.013122129624147114,0.02471078341042707,12.387518436363301,16.275950571948226,13086,0.07345515029809785,0.09555009373577704,0.014787386081205807,0.014797060120949442,0.014120954551885834,0.012749769355322873,0.005584522193372045,37.21740145794791,48.0795531089237,22491,0.07923570505919911,0.10686956115496331,0.029903792447465306,0.03764658716289985,0.05950023217479304,0.013364547102593955,0.04652891621538097,1.922536992770927,2.571643842320864,22491,0.0720539982913255,0.0979212564403186,0.01878314607069731,0.021122160442575973,0.024502154253272977,0.013096363398105968,0.01402093514668889,8.405661196077094,11.475880382203158
5,0.014710073366238637,0.011588858836404703,316.35018865765727,0.004827120798609272,0.41666666666667074,0.02219828533446149,0.01459726621627365,0.011491664802876882,315.83348506512027,0.004819236527482914,0.41666666666666713,0.02195172481201958,0.07200942125219924,0.09695034245489845,0.021953799855945574,0.026225404988256065,0.035718200826452745,0.011146686726376202,0.025875309287060586,11.565091546396255,15.247057558214598,13086,0.06691197587492295,0.08752423575329896,0.01454751530231106,0.01492951975150887,0.014120954551885834,0.010903648609369787,0.005717647742310941,33.79512907681472,43.829076103855854,22491,0.0749168208945228,0.10170275986152871,0.029707255665076468,0.03790687908101328,0.05950023217479304,0.011298885098842977,0.0484613429424407,1.8123640308641837,2.442219741523218,22491,0.07206788159632573,0.09768234301699835,0.01850956285475981,0.021116246534817043,0.024502154253272977,0.011135895830616742,0.01501766297578284,8.383655636942162,11.42194132010142
6,0.014880739704692909,0.011513668905714019,297.06226416171296,0.0045328104272722314,0.5,0.022013311588089602,0.01526728898545008,0.011944462167154444,292.4750316355488,0.004462814813774854,0.5,0.021828387536587987,0.07522520097752054,0.09990169058951694,0.02183091460328182,0.026359878263337525,0.035718200826452745,0.01019452618965065,0.026520893610528885,11.959083682472338,15.560133116332478,13086,0.06846103263042734,0.08893947520817244,0.014457239546176389,0.0149557443293698,0.014120954551885834,0.010204031475802993,0.005868048241561819,34.586051191883534,44.59288111546345,22491,0.07902452356520058,0.10678523228618922,0.029570565614359258,0.038050414315432685,0.05950023217479304,0.01014633783345752,0.049551816607898876,1.902144661224654,2.553670751587564,22491,0.0753614928226034,0.09939632280653313,0.018381509003650567,0.021304641241709343,0.024502154253272977,0.010237184067608185,0.015506472535563313,8.850912248148543,11.67439238206536
7,0.01466483128228394,0.011344453953325305,291.7263659032321,0.004451391081287111,0.5,0.021893635697021494,0.014678146482657382,0.011394821934973692,288.09216369024597,0.004395937556308685,0.5,0.021707114210296974,0.07196707632773719,0.09642787912360497,0.02170966300473624,0.026359316527436998,0.035718200826452745,0.009141427720564903,0.027197027231363944,11.462396026914044,15.13585099742343,13086,0.06640169344217282,0.08716049057109976,0.014304434753310042,0.014911046100811114,0.014120954551885834,0.009032075836847151,0.0062420496751043174,33.517005568521384,43.641031181303966,22491,0.07631987806673453,0.10224788223190898,0.0295097941476643,0.03813936838264517,0.05950023217479304,0.009303648541888304,0.05032710445208699,1.839833637807934,2.4502443346914564,22491,0.07085239596995843,0.09599994691539736,0.01821813610342874,0.021240243236633056,0.024502154253272977,0.0090428315155788,0.016259241442964905,8.252864583199765,11.236210667738776
8,0.014532910420398023,0.01124876462948468,287.34629236397654,0.004384556463073373,0.5,0.021837350819358853,0.014454300879583796,0.011199010904915261,284.5103027041596,0.0043412826950707945,0.5,0.021692971938686207,0.07025371640643494,0.09533165610509117,0.021695486282016355,0.02622770877429143,0.035718200826452745,0.009319063264504768,0.02706115939051042,11.336579712443816,15.067560336638591,13086,0.06600583908359484,0.08710867741966347,0.014294564791383706,0.014763490084246149,0.014120954551885834,0.009250754092729034,0.00615066244680706,33.39909098564841,43.66991747917795,22491,0.07368883679063022,0.10068878997080014,0.029488364296943684,0.038033433952786196,0.05950023217479304,0.009415786270433817,0.050198768435346826,1.7809362318079804,2.4150556939832564,22491,0.06929015023905892,0.09475891959710735,0.018208707139377115,0.021092241092276823,0.024502154253272977,0.009262084726616144,0.016089961887486338,8.055531989244901,11.078277519198597
9,0.014323020641920607,0.011077240805708734,282.985028046984,0.004318008850814575,0.5,0.021735508506573284,0.0147820530588379,0.011509831035786336,285.62245329299776,0.004358252766311611,0.5,0.02186191181587701,0.07232807483350868,0.09746305133641615,0.021865218397407744,0.026116224055473508,0.035718200826452745,0.010652983456074046,0.02608083278605898,11.537740956901839,15.266653064460542,13086,0.06686602821612046,0.08799882958728969,0.014437988456184919,0.014768954776221069,0.014120954551885834,0.010244603490743893,0.005818866857038004,33.854151516865834,44.133684128809826,22491,0.07699651044740134,0.10423487792832821,0.02967555201131658,0.03774561457113833,0.05950023217479304,0.011092695597914749,0.04860487629241329,1.8618579174337142,2.500713235697522,22491,0.07083763767975945,0.09619781793001629,0.018376290237306712,0.021089046182637874,0.024502154253272977,0.0104508800627742,0.015345864555276348,8.229205720302533,11.23680905949454
10,0.014151705450731687,0.010939077282172017,279.1538682505884,0.004259549991616644,0.5,0.021657063698991896,0.01433067468668122,0.011158824162926562,274.43529472728767,0.004187550273548701,0.5,0.021561508039289183,0.07031218562522293,0.0951665152102173,0.02156354504494806,0.026371731587396374,0.035718200826452745,0.007989534562002113,0.02809700180452504,11.29166228831812,14.96653527852843,13086,0.0655739022062725,0.08627228043266306,0.01415275495199607,0.014906164741193545,0.014120954551885834,0.007982668906586063,0.006798151420045675,33.12034885591457,43.182426607428425,22491,0.07370865297708369,0.10052710404696347,0.02937295394326311,0.03827386491006056,0.05950023217479304,0.007987658018056227,0.051577928163545006,1.7783703684729306,2.4086135166707265,22491,0.06967260660107981,0.09498088411157991,0.01806597622843193,0.021140640207175754,0.024502154253272977,0.007995405774966043,0.017008443716635818,8.104309810667623,11.1075279030527
